Time (s),Band-integrated AE waveform power proxy (V^2),Band-integrated AE waveform power proxy (dB re V^2)
0.004096,6.546834274446282e-09,-81.83968652602434
0.423939,8.674039253896155e-09,-80.61778616806589
0.843782,7.551788257454477e-09,-81.21950195604624
1.263625,9.60342273849207e-09,-80.1757395326122
1.683468,7.90598185218536e-09,-81.02044186894743
2.103311,8.834183449976352e-09,-80.53833586458067
2.523154,9.236066969848951e-09,-80.34512926715189
2.942997,9.360910137204732e-09,-80.28681923874102
3.36284,8.06490656226961e-09,-80.93400659859121
3.782683,8.928260511006885e-09,-80.49233146269158
4.202526,8.79736727666427e-09,-80.55647276518587
4.622369,8.195369643038535e-09,-80.8643145328183
5.042212,1.0441003600041905e-08,-79.81257754493525
5.462055,7.584114482053625e-09,-81.20095119954152
5.881898,7.92572209864348e-09,-81.00961159498868
6.301741,7.72610476187772e-09,-81.12039407348725
6.721584,7.124137578668063e-09,-81.4726770219596
7.141427,7.282652180546484e-09,-81.37710431454012
7.56127,9.660880363629311e-09,-80.14983295981483
7.981113,7.631603215474957e-09,-81.17384217681496
8.400956,6.416507969121593e-09,-81.92701262015987
8.820799,8.128951113933418e-09,-80.89965488208888
9.240642,8.635561976220245e-09,-80.63709394607258
9.660485,6.5680949135739e-09,-81.82560579983688
10.080328,7.445310700386803e-09,-81.28117173983264
10.500171,7.0635721392890795e-09,-81.50975615089239
10.920014,7.699626341313773e-09,-81.13530350391558
11.339857,9.74213003079286e-09,-80.11346078081951
11.7597,7.75676083610946e-09,-81.10319598933432
12.179543,7.233255268616286e-09,-81.40666207957602
12.599386,1.0066760014970124e-08,-79.9711028456399
13.019229,8.908657147425809e-09,-80.50187754707773
13.439072,8.154078332324686e-09,-80.88625120804764
13.858915,8.60047272035123e-09,-80.6547767733808
14.278758,8.80180632681954e-09,-80.55428191796585
14.698601,9.413798795930615e-09,-80.26235088242176
15.118444,9.552738582884095e-09,-80.19872106852208
15.538287,6.746526877826703e-09,-81.70919745092036
15.95813,9.136652471806423e-09,-80.39212893907008
16.377973,7.897928575641003e-09,-81.02486798093175
16.797816,7.298743677576717e-09,-81.36751887941338
17.217659,1.0022093426924453e-08,-79.99041553039498
17.637502,7.746851443211965e-09,-81.10874772161829
18.057345,9.72695749300529e-09,-80.12022981995761
18.477188,7.291899439366923e-09,-81.371593292147
18.897031,8.2479264952733e-09,-80.83655218097897
19.316874,7.153399243615003e-09,-81.45487535551086
19.736717,7.323471290515524e-09,-81.3528301662319
20.15656,9.64849360120026e-09,-80.15540486838037
20.576403,7.754409223175499e-09,-81.1045128371604
20.996246,7.459938051415064e-09,-81.27264778967051
21.416089,8.325174570897833e-09,-80.7960665098888
21.835932,8.90825468202129e-09,-80.5020737522406
22.255775,8.70265503849037e-09,-80.60348230984084
22.675618,8.232667188987063e-09,-80.8445944087512
23.095461,6.801827863388515e-09,-81.67374363130504
23.515304,7.118048189602095e-09,-81.47639076123205
23.935147,6.795512762704768e-09,-81.6777776753909
24.35499,8.452144755354215e-09,-80.73033073627153
24.774833,9.513228839644486e-09,-80.21672056222923
25.194676,9.492406580500774e-09,-80.22623668275357
25.614519,7.672429542732422e-09,-81.15067091080306
26.034362,6.773216050406967e-09,-81.69205071152376
26.454205,8.110529482749375e-09,-80.9095079265319
26.874048,7.6776183274995e-09,-81.14773481484166
27.293891,1.0691509040338822e-08,-79.70960992486322
27.713734,7.656196303004385e-09,-81.15986939883952
28.133577,9.48596456314613e-09,-80.22918502081241
28.55342,9.00327637990411e-09,-80.45599417807843
28.973263,6.848424687400148e-09,-81.64409315843237
29.393106,8.711134370429887e-09,-80.59925287157657
29.812949,1.0330150261839082e-08,-79.8589336120904
30.232792,9.409960256183924e-09,-80.26412210850795
30.652635,1.1509617359331115e-08,-79.38939114380057
31.072478,1.6296168909593404e-08,-77.87914482527518
31.492321,3.641430705648571e-07,-64.38727950007606
31.912164,5.154038401260462e-07,-62.878523499695554
32.332007,4.029702248229639e-06,-53.94727042377032
32.75185,4.317556398763026e-06,-53.64761980683123
33.171693,2.382354985882065e-06,-56.22993525421195
33.591536,7.650164665561254e-07,-61.16329216797367
34.011379,8.87519556514659e-07,-60.51822068478135
34.431222,1.010044681887845e-06,-59.95659413674676
34.851065,1.8040667211912415e-06,-57.437474046492085
35.270908,1.7371620496239517e-06,-57.60159666886906
35.690751,1.188350389128766e-06,-59.250554872767836
36.110594,1.0463290448446407e-06,-59.80331719017191
36.530437,1.1076702638572192e-06,-59.55589503055031
36.95028,9.944268043294933e-07,-60.02427177995233
37.370123,7.658830235091158e-07,-61.15837556899935
37.789966,1.3736974580542778e-06,-58.62108905388094
38.209809,1.0022143721978681e-06,-59.99039373573714
38.629652,2.0470459200737907e-06,-56.88872414977469
39.049495,8.284231524954592e-07,-60.8174777209086
39.469338,9.822125459331486e-07,-60.07794522867072
39.889181,1.1190835192062903e-06,-59.511375000874935
40.309024,1.4515051829368205e-06,-58.381814090800916
40.728867,1.0415023319918707e-06,-59.823397533013846
41.14871,1.3282633504600643e-06,-58.767158102746166
41.568553,1.6964591545143362e-06,-57.70456592359908
41.988396,2.9327194301098943e-06,-55.32729483485011
42.408239,1.4955620144798397e-06,-58.25195573947944
42.828082,1.5292275894938314e-06,-58.15527875277099
43.247925,2.125133293242304e-06,-56.72613824811731
43.667768,2.574303742260915e-06,-55.89340211975034
44.087611,3.149616999613878e-06,-55.01742254168241
44.507454,1.995610222904522e-06,-56.99924279968549
44.927297,3.1500823994715033e-06,-55.01678085839687
45.34714,2.0101338777753557e-06,-56.96775016986048
45.766983,2.34444512915802e-06,-56.299599273025066
46.186826,2.4427636066537206e-06,-56.12118558934566
46.606669,2.589880875921679e-06,-55.86720211254523
47.026512,3.410994078698746e-06,-54.67119034503682
47.446355,3.1910819371679826e-06,-54.96062044316969
47.866198,4.567402234413342e-06,-53.403307399818225
48.286041,3.4760691585695494e-06,-54.589115915771266
48.705884,3.1067657147029463e-06,-55.076914962294516
49.125727,2.7699746585659064e-06,-55.57524204110762
49.54557,3.919282065108213e-06,-54.06793479846246
49.965413,5.143639073337308e-06,-52.887295132481675
50.385256,3.511038223293776e-06,-54.545644425155075
50.805099,3.2650663960184657e-06,-54.86107982802
51.224942,2.3929303736467634e-06,-56.21069937734627
51.644785,2.432573328634622e-06,-56.13934059285147
52.064628,3.3080654649477073e-06,-54.80425904565613
52.484471,3.1642135737816803e-06,-54.99734210767122
52.904314,4.433248850595902e-06,-53.532778898585036
53.324157,2.108247703550419e-06,-56.76078364064264
53.744,4.94483859382216e-06,-53.05847879791051
54.163843,2.9327962390756393e-06,-55.327181093068944
54.583686,3.0668925632486576e-06,-55.133014375830555
55.003529,3.012009079800962e-06,-55.21143723274288
55.423372,3.7626639215935735e-06,-54.24504570815291
55.843215,3.8317210531742865e-06,-54.166061148013966
56.263058,3.5582095808469598e-06,-54.487684752726864
56.682901,2.917364594856609e-06,-55.350092919479785
57.102744,4.903651734675668e-06,-53.0948038169508
57.522587,2.6268086853649836e-06,-55.80571556416784
57.94243,3.4250590356863294e-06,-54.653319384337905
58.362273,3.238237732716815e-06,-54.89691271018987
58.782116,5.361388404217947e-06,-52.707227292980285
59.201959,4.463607981606146e-06,-53.50313954505343
59.621802,3.1864866094532388e-06,-54.966879022124495
