Time (s),Peak frequency (Hz),Spectral centroid (Hz),Spectral bandwidth (Hz)
0.004096,2319.3359375,17810.028558733433,38650.42682689924
0.423939,3417.96875,14344.46567227401,34548.059235827306
0.843782,3784.1796875,16572.05738550587,37891.60985038384
1.263625,3906.25,12987.256990249489,32401.45220186929
1.683468,3173.828125,14711.325212944008,34805.66232444052
2.103311,4516.6015625,14925.307485533749,34271.12885778228
2.523154,3417.96875,13345.156887058098,33263.33532456361
2.942997,3173.828125,13431.049133529135,32759.40643963748
3.36284,4150.390625,15185.794072512574,35460.88960777125
3.782683,4028.3203125,13658.462690889975,33788.254256946915
4.202526,4272.4609375,14233.825010064067,33472.355324890894
4.622369,2197.265625,15001.190875437529,35535.83548598162
5.042212,4028.3203125,11946.565534104879,30945.54002399677
5.462055,2075.1953125,15656.673306312621,36262.69995054945
5.881898,3540.0390625,15745.572996896319,36907.49474950634
6.301741,2441.40625,15805.17269270854,36899.22011463238
6.721584,4394.53125,16415.312013439,37459.75381697443
7.141427,4394.53125,16265.49726126228,36781.009481010595
7.56127,2563.4765625,25726.625734680732,43472.18685703827
7.981113,3417.96875,15918.295082590083,36444.83061689934
8.400956,3295.8984375,17626.064544427518,39004.62011769458
8.820799,2685.546875,15465.407766122526,35609.248618946025
9.240642,3173.828125,14369.841038176635,33973.518275293274
9.660485,2807.6171875,16436.763525634968,37591.346792361976
10.080328,3417.96875,15641.696663846857,36051.701914571364
10.500171,5493.1640625,16114.450913077584,36608.80531968019
10.920014,3295.8984375,16043.982846236975,36468.58252205792
11.339857,3173.828125,14135.59576359383,32814.12432495318
11.7597,2685.546875,16861.28821347586,35778.79540550201
12.179543,3173.828125,15993.40850497253,36045.79874566648
12.599386,4394.53125,12930.291043262718,32444.57148242212
13.019229,5249.0234375,14408.467349789247,32909.21172151989
13.439072,4150.390625,18002.695838135696,34816.626901139505
13.858915,3540.0390625,19028.18637298562,35905.68832961067
14.278758,2563.4765625,15091.074270503384,34299.421333137405
14.698601,3295.8984375,13551.563795384034,32699.613350573632
15.118444,2441.40625,13947.564158323135,32980.35082701937
15.538287,3662.109375,19590.68061253026,39395.85322444016
