test_id,surface,pressure_kpa,H,stage,vapor_fraction
Boiling-285,Flat Cu,10.07,0.9929133858267716,ONB,0.136359042718085
Boiling-284,Flat Cu,19.96,0.9550898203592815,ONB,0.0857009887695312
Boiling-283,Flat Cu,29.9,0.9519598470363287,ONB,0.100944519042968
Boiling-282,Flat Cu,40.04,0.9787329303783299,ONB,0.0487899780273437
Boiling-280,Flat Cu,50.1,0.913712011577424,ONB,0.178569502139004
Boiling-279,Flat Cu,60.01,0.9056477291771409,ONB,0.0773048400878906
Boiling-278,Flat Cu,69.98,0.8531395174584144,ONB,0.0905036926269531
Boiling-277,Flat Cu,79.97,0.8339062285164306,ONB,0.0488624572753906
Boiling-276,Flat Cu,89.95,0.8128320935175345,ONB,0.0958709716796875
Boiling-274,Flat Cu,100.04,0.7696096539834997,ONB,0.125392770785541
Boiling-385,MC Cu,10.09,0.8719981615534873,ONB,0.0777263004526009
Boiling-383,MC Cu,20.08,0.8444309313874531,ONB,0.113960266113281
Boiling-382,MC Cu,30.04,0.8081858199868878,ONB,0.126163482666015
Boiling-381,MC Cu,40.04,0.7639697575388894,ONB,0.109546661376953
Boiling-372,MC Cu,100.05,0.5123526745240254,ONB,0.0933983817967635
Boiling-300,MP Cu,10.1,0.7988111099723276,ONB,0.0954567859135718
Boiling-299,MP Cu,20.02,0.8022848909016057,ONB,0.113548278808593
Boiling-298,MP Cu,30.03,0.817625458996328,ONB,0.11368179321289
Boiling-297,MP Cu,40.04,0.7969938938468765,ONB,0.134853363037109
Boiling-296,MP Cu,50.01,0.7558419243986254,ONB,0.152270444540889
Boiling-295,MP Cu,60.01,0.7022498803255145,ONB,0.113990783691406
Boiling-294,MP Cu,70.04,0.6626936829558998,ONB,0.0845947265625
Boiling-293,MP Cu,80.06,0.5469011725293133,ONB,0.0877265930175781
Boiling-320,MP Cu,90.01,0.5395863925599609,ONB,0.0765419006347656
Boiling-319,MP Cu,100.03,0.5849668691330757,ONB,0.156187922375844
Boiling-285,Flat Cu,10.07,0.9929133858267716,CHF,0.593716597433194
Boiling-284,Flat Cu,19.96,0.9550898203592815,CHF,0.528854370117187
Boiling-283,Flat Cu,29.9,0.9519598470363287,CHF,0.489974975585937
Boiling-282,Flat Cu,40.04,0.9787329303783299,CHF,0.520263671875
Boiling-280,Flat Cu,50.1,0.913712011577424,CHF,0.465677196354392
Boiling-279,Flat Cu,60.01,0.9056477291771409,CHF,0.511474609375
Boiling-278,Flat Cu,69.98,0.8531395174584144,CHF,0.486125946044921
Boiling-277,Flat Cu,79.97,0.8339062285164306,CHF,0.498558044433593
Boiling-276,Flat Cu,89.95,0.8128320935175345,CHF,0.439620971679687
Boiling-274,Flat Cu,100.04,0.7696096539834997,CHF,0.391308357616715
Boiling-385,MC Cu,10.09,0.8719981615534873,CHF,0.713759532519065
Boiling-383,MC Cu,20.08,0.8444309313874531,CHF,0.728042602539062
Boiling-382,MC Cu,30.04,0.8081858199868878,CHF,0.665985107421875
Boiling-381,MC Cu,40.04,0.7639697575388894,CHF,0.754592895507812
Boiling-377,MC Cu,49.99,0.7481574408028854,CHF,0.664413452148437
Boiling-376,MC Cu,60.12,0.7369758576874206,CHF,0.635280609130859
Boiling-375,MC Cu,70.01,0.684163578976259,CHF,0.630031585693359
Boiling-374,MC Cu,80.04,0.6288047986727076,CHF,0.621578216552734
Boiling-373,MC Cu,89.98,0.5827095349122592,CHF,0.574245452880859
Boiling-372,MC Cu,100.05,0.5123526745240254,CHF,0.519458428916857
Boiling-300,MP Cu,10.1,0.7988111099723276,CHF,0.622426374852749
Boiling-299,MP Cu,20.02,0.8022848909016057,CHF,0.693103790283203
Boiling-298,MP Cu,30.03,0.817625458996328,CHF,0.704212188720703
Boiling-297,MP Cu,40.04,0.7969938938468765,CHF,0.62857437133789
Boiling-296,MP Cu,50.01,0.7558419243986254,CHF,0.62253038006076
Boiling-295,MP Cu,60.01,0.7022498803255145,CHF,0.564167022705078
Boiling-294,MP Cu,70.04,0.6626936829558998,CHF,0.607147216796875
Boiling-293,MP Cu,80.06,0.5469011725293133,CHF,0.648849487304687
Boiling-320,MP Cu,90.01,0.5395863925599609,CHF,0.643505096435546
Boiling-319,MP Cu,100.03,0.5849668691330757,CHF,0.500352315704631
Boiling-285,Flat Cu,10.07,0.9929133858267716,NBR,0.471022227044454
Boiling-284,Flat Cu,19.96,0.9550898203592815,NBR,0.556133270263671
Boiling-283,Flat Cu,29.9,0.9519598470363287,NBR,0.557254791259765
Boiling-282,Flat Cu,40.04,0.9787329303783299,NBR,0.538738250732421
Boiling-280,Flat Cu,50.1,0.913712011577424,NBR,0.345369055738111
Boiling-279,Flat Cu,60.01,0.9056477291771409,NBR,0.417488098144531
Boiling-278,Flat Cu,69.98,0.8531395174584144,NBR,0.415546417236328
Boiling-277,Flat Cu,79.97,0.8339062285164306,NBR,0.424468994140625
Boiling-276,Flat Cu,89.95,0.8128320935175345,NBR,0.464550018310546
