test_id,pressure_kpa,surface,q_chf_W_cm2,htc_chf_W_cm2K,q_nbr_W_cm2,T_nbr_C,T_max_C,T_sat_C,heater_power_W,t_chf_s,t_nbr_s,q_min_W_cm2,rusting_days,onb_vf,chf_vf,nbr_vf,onb_count,chf_count,nbr_count,H,DeltaT_max_K,DeltaT_NBR_K,nbr_vf_over_chf_vf,delta_vf_chf_to_nbr,delta_count_chf_to_nbr,post_chf_to_nbr_s,series,protocol_note,target_Tmax_C,protocol_label
Boiling-285,10.07,Flat Cu,38.1,1.928,37.83,66.88,71.17,45.944,60,117.25,142.1,32.98,Water: 0 | Air: 0,0.136359042718085,0.593716597433194,0.471022227044454,3.0,1.0,2.0,0.9929133858267716,25.226,20.935999999999993,0.793345224103246,-0.12269437038874004,1.0,24.849999999999994,standard 30-case design,,,
Boiling-284,19.96,Flat Cu,40.08,2.248,38.28,77.34,81.68,60.015,60,133.0,158.9,35.65,Water: 0 | Air: 0,0.0857009887695312,0.528854370117187,0.556133270263671,8.0,2.0,1.0,0.9550898203592815,21.665000000000006,17.325000000000003,1.051581118901295,0.027278900146484042,-1.0,25.900000000000006,standard 30-case design,,,
Boiling-283,29.9,Flat Cu,41.84,2.439,39.83,85.05,95.09,69.019,60,177.45,223.29,29.58,Water: 0 | Air: 0,0.100944519042968,0.489974975585937,0.557254791259765,15.0,1.0,1.0,0.9519598470363287,26.070999999999998,16.03099999999999,1.1373127588676775,0.06727981567382796,0.0,45.84,standard 30-case design,,,
Boiling-282,40.04,Flat Cu,44.67,2.72,43.72,91.86,113.82,75.881,70,119.53,179.55,19.54,Water: 0 | Air: 0,0.0487899780273437,0.520263671875,0.538738250732421,12.0,1.0,1.0,0.9787329303783299,37.93899999999999,15.979,1.0355100305021099,0.018474578857420987,0.0,60.02000000000001,standard 30-case design,,,
Boiling-280,50.1,Flat Cu,55.28,3.428,50.51,97.86,124.83,81.367,80,123.02,186.55,19.56,Water: 0 | Air: 0,0.178569502139004,0.465677196354392,0.345369055738111,18.0,1.0,1.0,0.913712011577424,43.462999999999994,16.492999999999995,0.7416490617145799,-0.12030814061628098,0.0,63.530000000000015,standard 30-case design,,,
Boiling-279,60.01,Flat Cu,59.67,3.441,54.04,101.78,126.38,85.93,80,175.0,219.44,22.74,Water: 0 | Air: 0,0.0773048400878906,0.511474609375,0.417488098144531,13.0,1.0,1.0,0.9056477291771409,40.44999999999999,15.849999999999994,0.8162440334128873,-0.09398651123046903,0.0,44.44,standard 30-case design,,,
Boiling-278,69.98,Flat Cu,66.73,4.396,56.93,105.4,134.6,89.924,90,138.25,194.6,21.77,Water: 0 | Air: 0,0.0905036926269531,0.486125946044921,0.415546417236328,16.0,1.0,1.0,0.8531395174584144,44.67599999999999,15.475999999999999,0.854812257229177,-0.07057952880859297,0.0,56.349999999999994,standard 30-case design,,,
Boiling-277,79.97,Flat Cu,72.73,4.861,60.65,108.81,171.85,93.475,100,137.55,209.99,18.71,Water: 0 | Air: 0,0.0488624572753906,0.498558044433593,0.424468994140625,11.0,1.0,1.0,0.8339062285164306,78.375,15.335000000000008,0.8513933309868867,-0.07408905029296797,0.0,72.44,standard 30-case design,,,
Boiling-276,89.95,Flat Cu,75.28,5.024,61.19,111.15,160.83,96.672,110,110.95,202.64,16.39,Water: 0 | Air: 0,0.0958709716796875,0.439620971679687,0.464550018310546,16.0,1.0,1.0,0.8128320935175345,64.15800000000002,14.478000000000009,1.0567057721009327,0.024929046630858986,0.0,91.68999999999998,standard 30-case design,,,
Boiling-274,100.04,Flat Cu,81.21,5.541,62.5,114.3,158.45,99.617,109,137.9,211.04,17.06,Water: 0 | Air: 0,0.125392770785541,0.391308357616715,0.322814030628061,17.0,1.0,2.0,0.7696096539834997,58.832999999999984,14.682999999999993,0.8249607358099315,-0.06849432698865399,1.0,73.13999999999999,standard 30-case design,,,
Boiling-420,9.96,Flat Cu,51.31,1.99,48.57,73.3,75.58,45.729,60,258.0,283.0,46.26,Water: 64 | Air: 0,,,,,,,0.9465991034885987,29.851,27.570999999999998,,,,25.0,10 kPa protocol validation,"base-line case, camera time corrected",,baseline
Boiling-421,9.92,Flat Cu,50.11,1.744,42.92,70.07,101.71,45.651,60,240.4,362.8,26.31,Water: 64 | Air: 0,,,,,,,0.8565156655358213,56.05899999999999,24.41899999999999,,,,122.4,10 kPa protocol validation,"upto 100 degC, pre-trigger 200 sec (trigger pressed at CHF)",100.0,100 °C target
Boiling-422,10.02,Flat Cu,50.24,2.07,36.43,69.9,150.46,45.847,60,215.2,596.8,20.31,Water: 64 | Air: 0,,,,,,,0.7251194267515924,104.613,24.053000000000004,,,,381.59999999999997,10 kPa protocol validation,"upto 150 degC, pre-trigger 200 sec (trigger pressed at CHF)",150.0,150 °C target
Boiling-423,9.99,Flat Cu,48.86,1.837,30.89,67.94,198.68,45.788,60,179.6,875.6,16.08,Water: 64 | Air: 0,,,,,,,0.6322144903806796,152.892,22.152,,,,696.0,10 kPa protocol validation,"upto 200 degC, pre-trigger 100 sec (trigger pressed at CHF)",200.0,200 °C target
Boiling-424,9.98,Flat Cu,43.34,1.991,19.66,94.15,250.14,45.768,60,127.2,1188.8,12.56,Water: 64 | Air: 0,,,,,,,0.45362251961236727,204.37199999999999,48.382000000000005,,,,1061.6,10 kPa protocol validation,"upto 250 degC, pre-trigger 100 sec (trigger pressed at CHF)",250.0,250 °C target
