test_id,pressure_kpa,surface,q_chf_W_cm2,htc_chf_W_cm2K,q_nbr_W_cm2,T_nbr_C,T_max_C,T_sat_C,onb_vf,chf_vf,nbr_vf,onb_count,chf_count,nbr_count,H,DeltaT_max_K,DeltaT_NBR_K,nbr_vf_over_chf_vf,delta_vf_chf_to_nbr,delta_count_chf_to_nbr
Boiling-285,10.07,Flat Cu,38.1,1.928,37.83,66.88,71.17,45.944,0.1501,0.6458,0.5049,4.0,1,1.0,0.9929133858267716,25.226,20.935999999999993,0.7818209972127593,-0.14090000000000003,0.0
Boiling-284,19.96,Flat Cu,40.08,2.248,38.28,77.34,81.68,60.015,0.1026,0.588,0.5806,8.0,2,1.0,0.9550898203592815,21.665000000000006,17.325000000000003,0.9874149659863947,-0.007399999999999962,-1.0
Boiling-283,29.9,Flat Cu,41.84,2.439,39.83,85.05,95.09,69.019,0.1193,0.5128,0.5848,11.0,1,1.0,0.9519598470363287,26.070999999999998,16.03099999999999,1.140405616224649,0.07199999999999995,0.0
Boiling-282,40.04,Flat Cu,44.67,2.72,43.72,91.86,113.82,75.881,0.0642,0.5514,0.6008,10.0,2,1.0,0.9787329303783299,37.93899999999999,15.979,1.0895901342038448,0.0494,-1.0
Boiling-280,50.1,Flat Cu,55.28,3.428,50.51,97.86,124.83,81.367,0.1834,0.4846,0.3791,5.0,1,1.0,0.913712011577424,43.462999999999994,16.492999999999995,0.7822946760214611,-0.10549999999999998,0.0
Boiling-279,60.01,Flat Cu,59.67,3.441,54.04,101.78,126.38,85.93,0.095,0.534,0.4386,9.0,1,1.0,0.9056477291771409,40.44999999999999,15.849999999999994,0.8213483146067415,-0.09540000000000004,0.0
Boiling-278,69.98,Flat Cu,66.73,4.396,56.93,105.4,134.6,89.924,0.1067,0.5111,0.4485,11.0,1,1.0,0.8531395174584144,44.67599999999999,15.475999999999999,0.877519076501663,-0.06259999999999999,0.0
Boiling-277,79.97,Flat Cu,72.73,4.861,60.65,108.81,171.85,93.475,0.0616,0.5259,0.4765,9.0,1,1.0,0.8339062285164306,78.375,15.335000000000008,0.9060657919756607,-0.049400000000000055,0.0
Boiling-276,89.95,Flat Cu,75.28,5.024,61.19,111.15,160.83,96.672,0.1129,0.5265,,11.0,1,,0.8128320935175345,64.15800000000002,14.478000000000009,,,
Boiling-274,100.04,Flat Cu,81.21,5.541,62.5,114.3,158.45,99.617,0.1448,0.4202,0.3529,11.0,1,1.0,0.7696096539834997,58.832999999999984,14.682999999999993,0.8398381722989052,-0.06730000000000003,0.0
Boiling-385,10.09,MC Cu,87.03,3.567,75.89,67.69,106.24,45.983,0.1842,0.7178,0.6153,11.0,1,2.0,0.8719981615534873,60.257,21.707,0.8572025633881304,-0.10250000000000004,1.0
Boiling-383,20.08,MC Cu,98.67,4.423,83.32,79.81,129.17,60.145,0.1191,0.7637,,7.0,1,,0.8444309313874531,69.02499999999998,19.665,,,
Boiling-382,30.04,MC Cu,106.77,5.235,86.29,87.04,150.26,69.126,0.1461,0.6952,0.6466,11.0,1,1.0,0.8081858199868878,81.13399999999999,17.914,0.9300920598388952,-0.04860000000000009,0.0
Boiling-381,40.04,MC Cu,115.07,5.989,87.91,91.57,164.16,75.881,0.1284,0.7803,0.6227,5.0,1,2.0,0.7639697575388894,88.279,15.688999999999993,0.7980264001025247,-0.15759999999999996,1.0
Boiling-377,49.99,MC Cu,127.54,6.34,95.42,98.75,173.89,81.312,,0.6962,0.653,,2,1.0,0.7481574408028854,92.57799999999999,17.438000000000002,0.937948865268601,-0.043200000000000016,-1.0
Boiling-376,60.12,MC Cu,133.79,7.249,98.6,102.63,183.41,85.977,,0.6859,0.6756,,1,2.0,0.7369758576874206,97.43299999999999,16.65299999999999,0.9849832337075376,-0.010299999999999976,1.0
Boiling-375,70.01,MC Cu,145.74,7.643,99.71,107.23,195.92,89.935,,0.6356,0.6318,,2,1.0,0.684163578976259,105.98499999999999,17.295,0.9940213971050975,-0.0038000000000000256,-1.0
Boiling-374,80.04,MC Cu,156.71,9.042,98.54,109.05,207.37,93.499,,0.6953,0.6339,,5,3.0,0.6288047986727076,113.87100000000001,15.551000000000002,0.9116927944772041,-0.06140000000000001,-2.0
